Year,zip3,Age Group,Asthma_Cases,ED_Visits,Avg_Length_of_Stay,Avg_Severity,Avg_Mortality_Risk,Total_Charges,Total_Costs,Avg_Costs,Medicaid_Cases,ED_Rate,Medicaid_Rate
2010,108,0 to 17,26,22,2.3076923076923075,1.4615384615384617,1.0769230769230769,478209.75,188367.2,7244.892307692307,0,0.8461538461538461,0.0
2010,108,18 to 29,15,15,4.133333333333334,1.4666666666666666,1.0,169508.7,92077.22,6138.481333333333,0,1.0,0.0
2010,108,30 to 49,24,22,4.083333333333333,1.4583333333333333,1.0416666666666667,305013.68,166659.78999999998,6944.157916666666,0,0.9166666666666666,0.0
2010,108,50 to 69,22,19,4.090909090909091,1.7272727272727273,1.2272727272727273,349553.26,157368.6,7153.118181818182,0,0.8636363636363636,0.0
2010,108,70 or Older,19,18,6.65625,2.197916666666667,2.135416666666667,389971.22,199464.81,12653.165520833332,0,0.9473684210526316,0.0
2010,109,0 to 17,183,139,2.315909090909091,1.319570707070707,1.0284090909090908,3617813.64,1050430.89,6392.811598063973,0,0.7595628415300546,0.0
2010,109,18 to 29,38,30,2.052380952380952,1.3095238095238095,1.076190476190476,569580.35,142559.91,3187.181380952381,0,0.7894736842105263,0.0
2010,109,30 to 49,123,91,2.540983606557377,1.3688524590163933,1.102459016393443,3041619.67,731061.8099999999,3785.610532786885,0,0.7398373983739838,0.0
2010,109,50 to 69,167,133,3.6336477987421385,1.979559748427673,1.4119496855345912,5484414.12,1339336.29,6441.182114779875,0,0.7964071856287425,0.0
2010,109,70 or Older,129,109,4.517333333333333,2.3000000000000003,2.384,4892064.82,1210604.5,7228.510906666667,0,0.8449612403100775,0.0
2010,110,0 to 17,120,72,2.118604188759279,1.2384124248851185,1.0158183103570166,1423774.42,539892.98,5239.715020767056,0,0.6,0.0
2010,110,18 to 29,15,13,3.0,1.2999999999999998,1.1,206365.23,89330.98999999999,5561.094999999999,0,0.8666666666666667,0.0
2010,110,30 to 49,35,30,3.8238636363636367,1.581439393939394,1.125,844170.5700000001,240932.86,6234.732443181818,0,0.8571428571428571,0.0
2010,110,50 to 69,89,86,5.3121875,1.8975,1.3953125,2711109.28,710134.56,8375.92081875,0,0.9662921348314608,0.0
2010,110,70 or Older,85,79,5.498550724637681,2.21256038647343,2.1101449275362323,3271887.9,885095.13,10641.14574879227,0,0.9294117647058824,0.0
2010,111,0 to 17,88,83,1.830526315789474,1.2496491228070177,1.0505263157894738,1410111.19,639153.2,4576.7094421052625,0,0.9431818181818182,0.0
2010,111,18 to 29,11,11,3.727272727272727,1.3636363636363635,1.0,191914.35,75689.84,6880.894545454546,0,1.0,0.0
2010,111,30 to 49,49,46,3.2515243902439024,1.6158536585365852,1.1844512195121952,622509.64,267923.57,5892.387865853659,0,0.9387755102040816,0.0
2010,111,50 to 69,103,101,5.1194444444444445,2.2666666666666666,1.2555555555555555,1714264.79,666562.4199999999,9245.75111111111,0,0.9805825242718448,0.0
2010,111,70 or Older,110,103,6.7756410256410255,2.3205128205128207,2.182692307692308,2354172.88,945962.6,12513.381410256412,0,0.9363636363636364,0.0
2010,112,0 to 17,2280,1776,2.0863880689536076,1.4742078873665114,1.0202947426844051,21354732.38,12567648.17,4846.913321735435,0,0.7789473684210526,0.0
2010,112,18 to 29,382,303,2.1816830435878054,1.6683295540438396,1.0875535399344922,3845510.99,1877354.39,6688.543134290754,0,0.7931937172774869,0.0
2010,112,30 to 49,1361,1123,2.882553366174056,1.946366995073892,1.3444415754857275,19425903.19,9246221.39,6157.292706691297,0,0.8251285819250551,0.0
2010,112,50 to 69,2364,1923,4.039680546294238,1.883374063212773,1.2850059737156512,43603427.99,20179924.91,8846.57361083958,0,0.8134517766497462,0.0
2010,112,70 or Older,1330,997,4.745063946303726,1.96763277357394,1.7689068028248158,34376561.6,14069228.67,7417.546061390145,0,0.749624060150376,0.0
2010,113,0 to 17,519,440,1.84309135366978,1.2003241994980578,1.0156025408011329,5288726.39,2809322.61,4521.426203017854,0,0.8477842003853564,0.0
2010,113,18 to 29,65,62,2.548958333333333,1.3666666666666667,1.0052083333333333,816938.43,383584.98,5132.063708333333,0,0.953846153846154,0.0
2010,113,30 to 49,254,234,3.0655309425722073,1.4815537696134713,1.067181063010738,3954436.56,1656407.66,4961.093616465186,0,0.9212598425196852,0.0
2010,113,50 to 69,356,331,3.8807279197670654,1.8963120567375888,1.2748581560283687,7060117.83,3004541.96,6982.045851257253,0,0.9297752808988764,0.0
2010,113,70 or Older,370,344,12.521577988763482,2.515989947151693,2.336306745244486,9173492.24,3340482.1899999995,21703.586400177966,0,0.9297297297297298,0.0
2010,114,0 to 17,740,574,2.156750308515014,1.302691426220838,1.0239286203992086,8852058.59,4507029.100000001,5291.116981018981,0,0.7756756756756756,0.0
2010,114,18 to 29,100,98,1.9221099887766555,1.526038159371493,1.327946127946128,1027751.75,452865.42,4263.365582491582,0,0.98,0.0
2010,114,30 to 49,330,310,2.8888313751004633,1.500940525852501,1.1129855715871253,4256629.67,2059495.37,5807.029787745418,0,0.9393939393939394,0.0
2010,114,50 to 69,493,467,3.8163812370062367,1.69920867983368,1.1840172383922385,8640116.73,3541320.41,7637.199928937111,0,0.947261663286004,0.0
2010,114,70 or Older,255,231,4.744296085040187,1.7331151153746434,1.5779825890987416,4703840.21,1918474.97,9981.864444666042,0,0.9058823529411764,0.0
2010,115,0 to 17,401,338,2.1986658629696607,1.4029013461924855,1.053301185453084,4458991.8100000005,2376418.43,5154.075068756279,0,0.8428927680798005,0.0
2010,115,18 to 29,69,64,2.4029850746268657,1.109452736318408,1.0298507462686566,736241.91,281819.08999999997,4594.478756218906,0,0.927536231884058,0.0
2010,115,30 to 49,203,199,3.850785340314136,1.6141361256544502,1.325130890052356,3601059.0300000003,1183792.65,7589.80587434555,0,0.9802955665024632,0.0
2010,115,50 to 69,301,288,4.171948356807512,1.919600938967136,1.266725352112676,7554894.18,2172362.57,7047.9689407277,0,0.956810631229236,0.0
2010,115,70 or Older,266,259,3.6934865900383143,2.297892720306513,1.9243295019157087,7885113.510000001,2225343.29,6044.26035440613,0,0.9736842105263158,0.0
2010,116,0 to 17,183,115,2.551388888888889,1.390277777777778,1.011111111111111,1748525.54,799078.0900000001,5144.386555555556,0,0.6284153005464481,0.0
2010,116,18 to 29,28,14,3.5698412698412696,1.9095238095238096,1.3,369316.33,133698.29,6652.977111111111,0,0.5,0.0
2010,116,30 to 49,79,53,3.101057213930348,1.8675373134328357,1.458644278606965,1280972.48,436068.18999999994,5193.131402363184,0,0.6708860759493671,0.0
2010,116,50 to 69,131,64,5.563034188034187,2.053774928774929,1.538105413105413,2933818.56,968564.84,9246.641232193731,0,0.4885496183206106,0.0
2010,116,70 or Older,52,33,6.3172757475083055,2.2530454042081947,2.3095238095238098,1225600.7000000002,417593.14,12710.449479512734,0,0.6346153846153846,0.0
2010,117,0 to 17,650,560,1.9018689516164615,1.2721914673557169,1.038174299345014,7782206.260000001,3058292.59,5062.9287559470295,0,0.8615384615384616,0.0
2010,117,18 to 29,117,112,4.144444444444444,1.933531746031746,1.3549603174603173,2010818.23,546071.48,8267.959440476192,0,0.9572649572649572,0.0
2010,117,30 to 49,417,394,2.998028692811302,1.644174791131313,1.2140730362469494,9337693.95,2385391.2,5321.774676050154,0,0.9448441247002398,0.0
2010,117,50 to 69,549,517,3.700312680692612,1.9494407576153812,1.441699616201894,15380504.96,4022604.07,11734.274255027603,0,0.941712204007286,0.0
2010,117,70 or Older,335,320,4.5675205689583045,2.2082373448612467,2.1590842746246457,11000178.06,2925943.06,8009.751375782085,0,0.9552238805970148,0.0
2010,118,0 to 17,16,12,1.5666666666666669,1.3944444444444444,1.0277777777777777,197890.3,72209.77,3396.7771666666667,0,0.75,0.0
2010,118,18 to 29,8,8,3.3000000000000003,2.1999999999999997,1.4,132140.38999999998,45073.86,6772.802333333333,0,1.0,0.0
2010,118,30 to 49,5,5,3.4,1.8,1.4,83838.57,25628.97,5125.794,0,1.0,0.0
2010,118,50 to 69,20,20,3.2,1.85,1.4,324931.23,102627.1,5131.3550000000005,0,1.0,0.0
2010,118,70 or Older,28,27,5.428571428571429,2.357142857142857,2.2857142857142856,687753.48,206867.89,7388.138928571428,0,0.9642857142857144,0.0
2010,119,0 to 17,89,61,2.0071794871794872,1.4107692307692308,1.05,1158954.9,387058.94,4225.148141025641,0,0.6853932584269663,0.0
2010,119,18 to 29,19,18,1.7222222222222223,1.25,1.0277777777777777,323276.36,74310.54000000001,3242.3194444444443,0,0.9473684210526316,0.0
2010,119,30 to 49,98,94,7.855337078651686,1.4297752808988762,1.086610486891386,2258373.82,509254.13,10876.463698501871,0,0.9591836734693876,0.0
2010,119,50 to 69,110,102,4.949122807017544,2.273684210526316,1.7140350877192982,3652684.23,886618.58,8833.685736842106,0,0.9272727272727272,0.0
2010,119,70 or Older,59,55,9.754464285714286,2.571428571428571,2.2857142857142856,2106642.95,538168.41,14708.077946428572,0,0.9322033898305084,0.0
2010,120,0 to 17,88,72,2.0800322061191627,1.293719806763285,1.0289855072463767,671649.65,286213.27,2624.8662914653783,0,0.8181818181818182,0.0
2010,120,18 to 29,22,20,2.326388888888889,1.5902777777777777,1.0208333333333333,170891.91999999998,70482.85,3061.3242361111115,0,0.9090909090909092,0.0
2010,120,30 to 49,61,54,2.8781400966183575,2.055314009661836,1.1696859903381642,722173.68,282397.31,3426.952072463768,0,0.8852459016393442,0.0
2010,120,50 to 69,76,69,3.760897435897436,1.9705128205128204,1.4326923076923077,1016679.97,380673.24,4892.674346153846,0,0.9078947368421052,0.0
2010,120,70 or Older,53,51,3.880952380952381,2.361111111111111,2.011904761904762,967787.94,337256.26,4248.651507936508,0,0.9622641509433962,0.0
2010,121,0 to 17,82,61,1.849002849002849,1.49002849002849,1.0046296296296298,781643.83,305291.79,2864.0216239316237,0,0.7439024390243902,0.0
2010,121,18 to 29,15,14,2.3833333333333333,1.3,1.0,135642.68,46699.46,3034.607333333334,0,0.9333333333333332,0.0
2010,121,30 to 49,79,72,6.223796583850932,1.7799236542443064,1.3598925983436854,1193754.42,403723.79,7999.142134446171,0,0.9113924050632912,0.0
2010,121,50 to 69,87,81,3.2796546546546548,2.112424924924925,1.4371246246246248,1095297.88,401123.83,4439.015722597597,0,0.9310344827586208,0.0
2010,121,70 or Older,66,61,5.756302521008403,2.3463385354141657,2.065426170468187,1281231.73,464020.23,7682.076680672269,0,0.9242424242424242,0.0
2010,122,0 to 17,55,41,2.767295597484277,1.4905660377358492,1.0062893081761006,541856.81,205507.47,4549.047232704403,0,0.7454545454545455,0.0
2010,122,18 to 29,20,17,1.95,1.4,1.0,165632.92,64050.63,3202.5315,0,0.85,0.0
2010,122,30 to 49,53,43,2.5,1.3461538461538465,1.1538461538461535,711225.36,245651.76,3197.1954807692305,0,0.8113207547169812,0.0
2010,122,50 to 69,92,81,5.472222222222222,2.2666666666666666,1.4944444444444445,1891325.08,653923.12,7555.012444444445,0,0.8804347826086957,0.0
2010,122,70 or Older,47,43,4.605555555555556,2.655555555555555,2.533333333333333,822769.48,277794.73000000004,6618.914777777778,0,0.9148936170212766,0.0
2010,123,0 to 17,56,40,1.642857142857143,1.276190476190476,1.0,476164.7400000001,154468.79,2495.2006666666666,0,0.7142857142857143,0.0
2010,123,18 to 29,8,7,3.357142857142857,2.071428571428571,1.2857142857142856,123626.45,37615.49,4864.439285714286,0,0.875,0.0
2010,123,30 to 49,48,43,6.6118421052631575,1.8125,1.544407894736842,1051206.48,298405.22,13737.049210526317,0,0.8958333333333334,0.0
2010,123,50 to 69,46,38,6.4689922480620154,2.6395348837209305,1.992248062015504,1062478.11,292066.34,9837.202403100777,0,0.8260869565217391,0.0
2010,123,70 or Older,9,4,5.4375,2.125,2.0,193273.65999999997,53626.89,6525.2925,0,0.4444444444444444,0.0
2010,124,0 to 17,25,17,2.673202614379085,1.0588235294117647,1.0,404355.9499999999,147674.46000000002,6186.968071895426,0,0.68,0.0
2010,124,18 to 29,3,3,1.0,1.75,1.0,15291.240000000002,5205.29,1669.145,0,1.0,0.0
2010,124,30 to 49,24,19,5.229166666666667,1.6180555555555554,1.2222222222222223,462549.31000000006,148472.38,8001.4025,0,0.7916666666666666,0.0
2010,124,50 to 69,60,55,4.208333333333333,2.198232323232323,1.8756313131313131,1041196.92,304765.66000000003,6210.817481060606,0,0.9166666666666666,0.0
2010,124,70 or Older,18,17,4.533333333333333,2.2,2.033333333333333,358975.48,108816.49,5822.883,0,0.9444444444444444,0.0
2010,125,0 to 17,159,75,2.329374491732177,1.2516772838167525,1.0,1907220.15,920741.19,6206.781081593927,0,0.4716981132075472,0.0
2010,125,18 to 29,23,16,2.476923076923077,1.5186813186813186,1.145054945054945,285258.35,83939.77,4196.346351648352,0,0.6956521739130435,0.0
2010,125,30 to 49,89,66,4.41869212962963,2.1999421296296298,1.328125,1683616.68,502852.64,8476.062364004629,0,0.7415730337078652,0.0
2010,125,50 to 69,108,69,4.442881192881193,2.4145021645021645,2.3233525733525733,2232747.91,667709.67,7301.650946368446,0,0.6388888888888888,0.0
2010,125,70 or Older,55,28,7.053147574819401,2.4881320949432406,2.237358101135191,1449451.04,417591.5,15805.739638802892,0,0.509090909090909,0.0
2010,126,0 to 17,56,1,1.8240740740740744,1.398148148148148,1.0,440442.94,232780.82,5078.129444444445,0,0.0178571428571428,0.0
2010,126,18 to 29,7,3,2.2857142857142856,1.2857142857142858,1.0,88400.56,20705.41,2957.9157142857143,0,0.4285714285714285,0.0
2010,126,30 to 49,35,3,3.1136363636363633,1.7727272727272727,1.0757575757575757,382104.3,99439.61,4064.456666666667,0,0.0857142857142857,0.0
2010,126,50 to 69,26,8,4.48,2.6,2.24,372871.7,98947.46,7591.080400000001,0,0.3076923076923077,0.0
2010,126,70 or Older,13,2,5.769230769230769,2.3076923076923075,2.076923076923077,311077.66,80794.56,6214.966153846153,0,0.1538461538461538,0.0
2010,127,0 to 17,29,22,2.087301587301587,1.246031746031746,1.0634920634920637,523078.22,182298.91,4769.297301587302,0,0.7586206896551724,0.0
2010,127,18 to 29,7,5,3.0,1.75,1.1666666666666663,115106.29,46047.84,8767.015833333333,0,0.7142857142857143,0.0
2010,127,30 to 49,24,21,7.757575757575758,1.9444444444444444,1.2626262626262628,680966.4700000001,232811.91000000003,14843.655681818183,0,0.875,0.0
2010,127,50 to 69,27,21,4.757142857142857,2.225,1.664285714285714,942031.28,381426.85,11106.913464285715,0,0.7777777777777778,0.0
2010,127,70 or Older,10,9,4.222222222222222,1.8333333333333333,1.7777777777777777,291284.91,102436.9,6914.818888888889,0,0.9,0.0
2010,128,0 to 17,53,34,2.24375,1.8083333333333336,1.2104166666666667,338065.08999999997,181314.85,4512.648625,0,0.6415094339622641,0.0
2010,128,18 to 29,8,8,1.875,1.75,1.625,73972.98,31204.68,3900.585,0,1.0,0.0
2010,128,30 to 49,73,70,3.203125,2.2100694444444446,1.7447916666666667,739553.39,305603.47,7211.899583333333,0,0.958904109589041,0.0
2010,128,50 to 69,92,86,3.676136363636364,1.9204545454545456,1.5170454545454546,1308423.69,593979.6599999999,5377.424147727273,0,0.9347826086956522,0.0
2010,128,70 or Older,51,50,5.510416666666666,2.5520833333333335,2.302083333333333,771361.94,368825.29,8959.350416666666,0,0.9803921568627452,0.0
2010,129,0 to 17,24,13,1.608695652173913,1.6739130434782608,1.0217391304347827,128029.56,76743.26,3010.891304347826,0,0.5416666666666666,0.0
2010,129,18 to 29,19,19,2.473684210526316,1.631578947368421,1.0,126417.73,60363.49,3177.025789473684,0,1.0,0.0
2010,129,30 to 49,69,67,3.807692307692307,2.2653846153846153,1.748076923076923,662653.72,309609.38,4623.833365384615,0,0.9710144927536232,0.0
2010,129,50 to 69,80,75,5.210810810810811,2.1873873873873872,1.504504504504505,1294990.59,571120.82,7300.91172972973,0,0.9375,0.0
2010,129,70 or Older,30,25,8.5,2.1666666666666665,1.9,524786.57,258873.39,8629.113000000001,0,0.8333333333333334,0.0
2010,130,0 to 17,71,54,2.12989921612542,1.408809257185517,1.0317282568122434,491544.26,256648.87,3180.74091004106,0,0.7605633802816901,0.0
2010,130,18 to 29,12,10,2.375,1.5,1.0,82425.73000000001,37906.71,3209.191875,0,0.8333333333333334,0.0
2010,130,30 to 49,72,65,3.416988416988417,1.8324324324324324,1.150965250965251,690032.74,320549.32999999996,4438.219710424711,0,0.9027777777777778,0.0
2010,130,50 to 69,63,52,4.496969696969696,2.168181818181818,1.4090909090909092,832681.6399999999,369521.12,5915.052484848485,0,0.8253968253968254,0.0
2010,130,70 or Older,58,48,4.568181818181818,2.275252525252525,2.156565656565657,715309.7,312766.34,5475.845126262626,0,0.8275862068965517,0.0
2010,131,0 to 17,24,20,2.1304347826086953,1.2608695652173914,1.0217391304347827,136910.42,80604.70999999999,2996.610652173913,0,0.8333333333333334,0.0
2010,131,18 to 29,6,5,3.625,1.625,1.25,57047.11,26762.120000000003,4853.985000000001,0,0.8333333333333334,0.0
2010,131,30 to 49,22,16,2.111111111111111,1.6944444444444444,1.1666666666666663,151521.92,66331.12000000001,2641.773611111111,0,0.7272727272727273,0.0
2010,131,50 to 69,31,29,5.699792960662525,2.186335403726708,1.6935817805383022,395873.78,185315.01,5932.136335403727,0,0.935483870967742,0.0
2010,131,70 or Older,19,15,3.7474747474747474,2.6262626262626263,2.2878787878787876,184283.21,79806.09,3740.0744949494942,0,0.7894736842105263,0.0
2010,132,0 to 17,66,54,1.8636363636363635,1.3484848484848484,1.0303030303030305,503945.95,252274.28,3822.337575757576,0,0.8181818181818182,0.0
2010,132,18 to 29,21,19,2.0,1.3157894736842106,1.0789473684210529,156399.57,75964.48,3396.6621052631576,0,0.9047619047619048,0.0
2010,132,30 to 49,82,80,3.097560975609756,1.8414634146341464,1.2073170731707317,906779.51,421089.86,5135.242195121951,0,0.975609756097561,0.0
2010,132,50 to 69,67,65,2.915343915343916,2.0793650793650795,1.6746031746031746,929892.57,425066.03,5509.289417989418,0,0.9701492537313432,0.0
2010,132,70 or Older,45,40,6.4772727272727275,3.1477272727272725,3.0113636363636367,587823.45,270756.94,14027.612954545457,0,0.8888888888888888,0.0
2010,133,0 to 17,32,20,2.170995670995671,1.4610389610389611,1.0,179726.66999999998,115170.76,3371.0447186147185,0,0.625,0.0
2010,133,18 to 29,7,5,2.916666666666667,1.25,1.0,63013.67999999999,31323.57,3889.4683333333337,0,0.7142857142857143,0.0
2010,133,30 to 49,25,21,3.5384615384615383,1.8461538461538465,1.1666666666666663,256321.23,143396.48,5779.721282051282,0,0.84,0.0
2010,133,50 to 69,35,27,4.6899999999999995,2.1,1.4300000000000002,488186.87,232092.92,6611.7826000000005,0,0.7714285714285715,0.0
2010,133,70 or Older,31,26,5.16,2.4466666666666668,2.203333333333333,382471.9499999999,190298.93,7026.343066666666,0,0.8387096774193549,0.0
2010,134,0 to 17,54,35,2.4583333333333335,1.4404761904761905,1.0357142857142856,381067.48,251790.65,4685.411607142857,0,0.6481481481481481,0.0
2010,134,18 to 29,18,16,2.9461538461538463,1.3923076923076922,1.1384615384615384,143566.88,65866.93,3767.782846153846,0,0.8888888888888888,0.0
2010,134,30 to 49,49,41,4.197058823529412,1.630392156862745,1.1656862745098038,570420.27,268957.13,5272.608715686274,0,0.8367346938775511,0.0
2010,134,50 to 69,54,43,5.130769230769231,2.041025641025641,1.6102564102564103,771966.48,375116.76,6809.889743589743,0,0.7962962962962963,0.0
2010,134,70 or Older,71,58,4.984335839598998,2.263157894736842,1.943609022556391,1032307.65,465734.24,6797.282756892231,0,0.8169014084507042,0.0
2010,135,0 to 17,47,29,2.3925925925925924,1.5333333333333332,1.037037037037037,310570.36,156105.89,5769.9485185185185,0,0.6170212765957447,0.0
2010,135,18 to 29,7,6,3.5714285714285716,1.8571428571428572,1.0,89371.69,36224.51,5174.93,0,0.8571428571428571,0.0
2010,135,30 to 49,24,22,4.090909090909091,2.2424242424242427,1.7727272727272727,305930.6,123395.33,9135.511666666664,0,0.9166666666666666,0.0
2010,135,50 to 69,45,40,4.711111111111111,2.155555555555555,1.511111111111111,625474.1900000001,285183.63,6337.414,0,0.8888888888888888,0.0
2010,135,70 or Older,21,18,5.857142857142857,2.9047619047619047,2.761904761904762,405739.45,181073.32,8622.539047619046,0,0.8571428571428571,0.0
2010,136,0 to 17,78,37,2.3328641801548207,1.4824067558057703,1.0886699507389164,456441.97,339085.24,4107.741857846587,0,0.4743589743589743,0.0
2010,136,18 to 29,22,20,2.0238095238095237,1.5238095238095235,1.3333333333333333,183882.59,80980.76000000001,3226.3892857142855,0,0.9090909090909092,0.0
2010,136,30 to 49,39,36,3.027777777777778,1.7457264957264955,1.1303418803418803,300151.39,151032.43,4344.592094017094,0,0.9230769230769232,0.0
2010,136,50 to 69,33,31,2.8333333333333335,2.0416666666666665,1.625,254079.64,141392.44,3749.718055555555,0,0.9393939393939394,0.0
2010,136,70 or Older,16,14,4.3805555555555555,2.219444444444445,1.763888888888889,153466.75,79037.34999999999,4944.473138888889,0,0.875,0.0
2010,137,0 to 17,20,10,2.4375,1.375,1.0,91633.28,71980.29000000001,3906.30375,0,0.5,0.0
2010,137,18 to 29,6,6,2.0,1.3333333333333333,1.1666666666666667,31633.6,15546.92,2591.153333333333,0,1.0,0.0
2010,137,30 to 49,21,14,3.394736842105263,1.5394736842105263,1.026315789473684,204231.9,96967.66,3414.1211842105263,0,0.6666666666666666,0.0
2010,137,50 to 69,26,20,3.94,1.58,1.38,475286.28,220666.67,4819.2022,0,0.7692307692307693,0.0
2010,137,70 or Older,23,18,5.738095238095238,2.119047619047619,1.5476190476190477,284177.19,139953.0,6136.141547619048,0,0.782608695652174,0.0
2010,138,0 to 17,26,15,1.8611111111111112,1.138888888888889,1.0,115721.1,65977.78,2720.853611111111,0,0.5769230769230769,0.0
2010,138,18 to 29,3,1,2.0,1.0,1.0,17095.02,7814.75,2196.7725,0,0.3333333333333333,0.0
2010,138,30 to 49,24,16,2.0921052631578947,1.5614035087719298,1.219298245614035,223745.72,114465.57,3438.829868421053,0,0.6666666666666666,0.0
2010,138,50 to 69,23,15,3.537878787878788,1.962121212121212,1.3106060606060606,138277.83,85078.64,3639.091212121212,0,0.6521739130434783,0.0
2010,138,70 or Older,29,24,4.386904761904762,2.267857142857143,2.071428571428571,287353.89999999997,133604.38,3805.204851190476,0,0.8275862068965517,0.0
2010,139,0 to 17,19,12,2.611111111111111,2.6944444444444446,1.5,97006.62,66022.96,5712.625,0,0.631578947368421,0.0
2010,139,18 to 29,5,5,1.8,1.4,1.0,30582.52,14579.4,2915.88,0,1.0,0.0
